Date,PF1,PF2,PF3,PF4,PF5,PF6,PF7,PF8,PF9,PF10,Residual
2018-03-12,0.25948219180447035,0.04987598543260949,2.4215729508400843,0.6097656426658118,26.834675708266662,51.26483733942314,-3.5186555831763844,4.736297042180583,-2.033543135960557,10.746750816037963,-30.02105895751438
2018-03-13,-1.7140390506358814,1.7912771235173723,-0.7727449661517715,5.638012924389998,-7.270753034294069,79.40278997947871,3.454897521407048,-3.901512282146296,25.04589927518701,-91.24820658223773,50.264379091485594
2018-03-14,0.7173686882716878,-1.3073373198431546,3.797902665912817,-1.939152952945829,163.40770471899074,-80.84750108742384,-9.999198370353273,8.368064934827832,-19.424046317924244,190.61771245474426,-192.501517414257
2018-03-15,-1.0067635242916368,1.3834208440402211,-1.5288403390605205,8.983139831927245,-4.560579781690719,72.30212563638175,-2.6577909722840976,5.581996343846046,1.2136177824173948,208.34690961960186,-226.89723544088756
2018-03-16,0.25034453333957446,-1.5152812861245595,17.968428205790463,-7.185738948346545,105.6387250708016,-50.88247170214448,11.772965917906703,-0.9453519240296969,239.22928439415585,-346.19233563824406,94.15143137689515
2018-03-19,-2.2002907944906474,29.698816811732716,-14.723823303486455,7.751460688110055,89.81757095726996,-29.126907480619117,-5.690202618957326,-0.3177591909988488,2.5220407818801234,203.34171846845234,-219.0626243188928
2018-03-20,-0.50267050529677,-0.29637653814629944,27.94354958621526,60.53021568157656,-36.44915673229807,38.89372702122261,-14.398921061660959,2.531492854006357,-179.51159047727876,3228.308227195706,-3063.678497024046
2018-03-21,0.807372410000046,12.73877648116696,31.970882608075076,55.11330821006875,-39.66609628756986,9.5842763241939,6.495583690927047,2.7389677007021223,1.3686835883255584,4923.744766131,-4939.796520856889
2018-03-22,-0.6123374374716831,95.37164261258117,-47.72789022009553,-26.29194807885402,45.891704062491385,-6.938231813949011,17.800069972923477,-0.7791680505483839,8154.327234268531,-3368.8399313077307,-4797.951144007878
2018-03-23,0.7605669882977477,-0.4029925823236903,33.95385479508135,61.00666745630262,-37.993278721920305,33.806000357631376,-12.811260092947226,8.438796775987973,9081.344056853863,-4600.140897326179,-4502.161514503794
2018-03-26,-0.2588874563325529,33.82000408292255,-16.614296233701268,61.347990716291974,-18.899979746383806,20.57225411847719,3.0511173828696743,18.362666411469426,-8.655345924010193,6447.75062827949,-6474.986151631093
2018-03-27,0.5952478746874459,-0.412637608332488,18.82262375510104,-6.103308383045807,74.38821397880336,-13.730010645858021,29.704765063559382,-0.054899944285563086,7730.414250375395,1316.2652760758435,-9084.679520541868
2018-03-28,-0.35250319378869915,8.603123932292187,-13.142582798784767,179.323672875918,-80.64641882273158,42.42551065369274,-20.474979289687322,-12.36211855710467,16957.148691922717,-8885.426857512937,-8110.795539209585
2018-03-29,1.346312623728921,-0.7868872728015178,80.15283643922672,-68.99451930586247,94.80187304408767,93.88209059365165,-105.37761746593618,20.650576383795915,6199.838678453056,2203.886480763639,-8454.529824256586
2018-04-02,-1.7603407353139877,200.1368189866989,-99.77845700935862,161.67725277359725,-117.8448250846256,62.44460901256736,-92.74387565749366,18.428673425782602,-1697.1849183334261,9384.879439888775,-7755.204377267203
2018-04-03,0.42837781905618455,-0.6566153725552829,273.18652639268515,9.975701825064663,-81.88838464977405,-13.851565092811802,-14.80425059706588,-41.37029208397718,-176.1469636120257,716.579330916611,-608.0418655452071
2018-04-04,-0.13738695448679722,813.6155220202066,-408.1358240400183,-180.64687807362213,88.79325606387343,-129.42659194773833,3.9420578242146975,-58.4535773319398,144.53705262992267,-845.1099027387588,634.3722725483468
2018-04-05,11.364892482611618,-18.28249186459725,322.65411210272475,-114.07818010266806,114.5798935862917,-130.60354099952764,-19.574667315775624,-21.762498761241506,4.902443960452699,140.96372098456524,-226.63368407283593
2018-04-06,1.0263707316511301,89.47050670212116,8.097435901170678,76.860562827251,-114.27715716217641,106.93798335355186,-23.722510256650676,7.746540882920115,-87.03748166205936,561.1849666675896,-564.257217985369
2018-04-09,-2.1132750060562313,162.9931815300177,-77.79190604635752,32.436969951128994,-6.77517076685822,32.022409957205966,9.983077178578746,-19.688946509933896,22.069816873852467,53.003960546324286,-142.7401177079023
2018-04-10,31.68743111223045,-17.03362167006589,81.66708003218268,-22.989922874496802,141.11663588229234,-79.532974118152,9.595735537590574,-38.60685684702052,163.60236962868942,-146.39157517672538,-57.63430150652488
2018-04-11,18.113814439246227,34.96360323661721,-21.154941475703826,28.834881216108606,-2.916096422901885,87.74501880894567,-16.612156558879022,-26.460672999903522,12.905011176016716,109.51160445618139,-158.12006587572756
2018-04-12,-5.044214912832705,20.851187001326263,36.35029393472227,-12.969604119717959,206.83143978579807,-101.49905871404314,-62.21896088159969,9.430257169915333,-74.0361283783732,169.4799732266885,-120.10518411188373
2018-04-13,2.948177312282566,-2.7349045211331346,20.669802372918348,17.41612394128634,-12.863322678883229,94.01070858462087,-85.7765818297175,35.64737071109868,-43.78491746567465,77.7100258043175,-35.8924822311158
2018-04-16,-0.7260881266158644,1.8552150624528838,-1.8859440073185536,20.8818132431842,53.20530000226979,3.0595850542704515,-29.579873708990718,7.563229990500248,97.6614071841865,-61.03507240348924,-24.769572290449688
2018-04-17,0.8369004024871304,-1.1259430347528963,3.981954447411146,-2.967624804367439,113.5008637091424,-47.62692117913489,6.671515464749078,-19.411291739708435,58.92703259768047,2.9446599481356612,-49.23114581164223
2018-04-18,0.9840268557416004,1.1248534753725723,0.3411400544076918,3.641685849319594,4.405722678257275,59.97206497451196,-25.403855791200808,12.42777690445351,-2.222386767080749,77.34836444904401,-64.17939268282666
2018-04-19,-0.09280521809211303,2.541748929828595,-2.37015875174015,7.243835884883812,-1.511907838506667,31.676797584762458,3.554166747266966,12.38017701616891,51.41779678125919,26.650026142811953,-63.18967727864297
2018-04-20,0.29275224491504886,-0.18186047149972673,9.613814632764818,-4.681873232612081,4.439279192087166,-5.959107996799364,51.729732375908334,-11.367071537598227,148.01034704749281,-68.05932690432442,-55.576685350334344
2018-04-23,-0.3976496598272755,0.29481655584846006,-0.2479290515948148,7.42371139942916,-0.7588705865743409,1.961866341903998,20.65525447274152,11.455136872950545,148.60282630247443,-67.64995540892318,-53.7292072384285
2018-04-24,-0.5334668038537158,0.3282658567890662,2.577357276846101,5.485337259547815,-2.6143221794707876,19.39872200673956,-9.973155819922905,40.72823210597679,44.30373971243036,34.97303877894844,-67.01374819403071
2018-04-25,-0.0748165571399456,-0.07231673655863975,6.308939272504098,-3.3981720789149676,4.141966410931183,1.9871029660324107,23.305037444961965,29.41097069067658,-7.910818378009481,98.26952381167224,-83.96741684615544
2018-04-26,0.13770083080483145,-0.3952413695877404,1.1283957073252173,7.874723846184347,-1.074518427514102,-2.412310359682741,59.28505279209979,-19.592951674957483,149.92934409969249,-67.13466068698837,-59.56553475737623
2018-04-27,-0.3936909545072401,0.25031241964929907,-0.3259280093127956,12.039077540317576,-5.922076892275699,35.84946428194197,-17.801616358940755,68.12537310613162,-35.353431384072465,185.21185516677284,-173.56933891570435
2018-04-30,0.4983571438539514,-1.0254403957860054,0.7923285480756246,-0.4200385640451119,8.52306084864863,-1.2911635377501087,151.08120795294457,-60.83926904028588,244.2232579600496,-118.59162622323063,-154.39067469247462
2018-05-01,-3.295600782876727,1.3342960684464351,0.4349342716209721,12.860784367397487,-8.108656678042422,238.1146754961025,-117.2248361640754,34.87522214209854,-17.54739720252717,588.2422597254043,-662.4056812435485
2018-05-02,0.1996154652165146,-1.4639074829442,-0.47810802083162574,-6.085095202651621,28.458992548401074,-14.314990163082765,257.6535858336181,-92.0806464954475,1459.2491721740018,-730.0967025424105,-833.1319161138694
2018-05-03,-2.211860193913828,1.1770196196627911,-0.9361245205312272,44.68889493709135,-23.75187768798796,391.4329341249466,32.057840672872196,-146.3620345701335,793.2154584579037,-103.80357805541831,-917.0566727844919
2018-05-04,-0.6154961490702765,0.1873648082456914,0.12087695901756186,-1.1743441887427297,111.31791480739761,777.9638584058482,-426.27522424652767,23.491764047027214,-134.48503113319964,502.0245546335177,-782.8462379435136
2018-05-07,1.0633562516038766,-0.46297761415846644,-1.5275677178657476,74.64364685674872,318.15603259618416,-329.44688207285657,403.06774810798413,-90.83884148104899,521.5517213552477,-200.56786951765855,-624.8983667641802
2018-05-08,-1.6844920000924322,0.3414740795013458,-4.093012243872722,165.36905061060315,411.2368323229573,-348.74612139386767,207.67789237854626,-130.0164218656554,724.1003214404934,-399.5200203096346,-555.8355030189787
2018-05-09,1.019704187744074,-0.281727417244582,-6.954762350337084,857.3057356709232,-306.4724810755221,-34.78775680187276,-163.19739530599654,10.90992412414731,343.342148432922,-84.70514626674746,-545.0182431980162
2018-05-10,1.1611163828652218,-0.35030354263375935,-9.95134592179466,1001.8431150047725,-500.53847576354576,51.261677162725704,-283.6778353902895,201.69120441956883,-85.46717394368979,249.8702100839989,-554.4821884919778
2018-05-11,-0.39424708588509466,0.3196797019197078,-11.298342153754604,549.4793365019717,-21.655768252194523,-102.33847439259807,-155.02807688873565,275.96286644508865,-177.85482609730835,264.4299550081997,-550.9321027867035
2018-05-14,0.041629768571441204,-0.0058244131994796035,-9.234447245296849,167.14767624902902,410.6681561064181,-579.4079411554563,524.3697652476419,9.567210004076543,-16.382290491872194,44.67319729926255,-480.42713136917473
2018-05-15,0.4736512045007782,-0.2712325593983732,-4.701537753228774,15.611740304714512,484.06459572178716,-621.6783588386771,952.9946056898856,-367.74711956228043,178.50943834667336,-269.67957571924353,-296.23620683473325
2018-05-16,-0.11154286310142733,0.2896524835845746,-0.6837808334713228,-7.360457857380155,241.6053426783289,-29.887856358697217,307.65123622963654,-56.78691346117329,222.82693912537306,-481.42102351248815,-124.69159563061152
2018-05-17,0.4009530480867542,-0.27051863161578815,0.9159376479384037,-0.7829332665248538,0.9539965604270648,325.65433521424984,-294.4933624389773,554.0871310339705,-887.5411585758491,491.2528738274022,-118.70725441910776
2018-05-18,-0.3914082424544159,0.24684582557812926,-2.3784102554777062,4.7583612811708225,-21.888425709099437,172.64926461014844,-102.3877910656685,656.0359808322402,-999.4273918939268,488.11535368645355,-124.10237906896418
2018-05-21,0.9874936395687091,-0.330672181125307,-1.4279359343681601,0.3191355792787492,2.218702195294482,6.892470244195205,1292.9677363202793,-637.6740429026775,17.15867412114571,-668.3174254399072,59.46586435831591
2018-05-22,-0.2794840313198339,0.762746640853137,0.2697037164419353,-8.761783129188542,19.042439646694042,-17.005914091005177,807.7093325204742,-107.4145065156162,-1013.1112005675864,131.90279554691995,258.9758702633328
2018-05-23,1.6544158910241447,-1.1506687686093808,-4.781932940795641,-2.5451437125525413,1.415994690432697,25.3247864771752,-14.998945556566923,663.6914351462364,-1729.6110923106596,861.8439804721932,271.00717061212254
2018-05-24,2.5130495475595724,-4.152814616824691,-20.54883634806296,13.90494649207884,-3.0428723562516935,24.561376422556155,46.80479351199196,196.40336584013727,314.7290619639885,-801.3570865512985,300.95501609412554
