Date,Actual,LMD_ARIMA,LMD_SD_ARIMA_XGBoost
2021-02-23,61.66,60.1684199360825,-825527.4315800639
2021-02-24,63.21,62.16974599566311,817395.6697459957
2021-02-25,63.43,64.61387951672077,318308.8338795167
2021-02-26,61.55,48.31073908507824,850982.5607390851
2021-03-01,60.54,85.59378721565008,-248.4364127843499
2021-03-02,59.7,65.28958453983068,28.052951539830687
2021-03-03,61.33,63.687995214015245,57.91620561401525
2021-03-04,63.81,92.66329428181052,-0.14603171818947658
2021-03-05,66.08,53.50659496709704,95.44690296709703
2021-03-08,65.03,58.309688864741474,86.44747586474148
2021-03-09,64.02,73.88013707753271,-75.57695292246729
2021-03-10,64.45,71.81173131428659,-205.9344186857134
2021-03-11,66.02,60.51991832931526,-33.33158167068474
2021-03-12,65.59,63.17956362036057,77.06941062036057
2021-03-15,65.36,69.59774890984409,-21.933411090155914
2021-03-16,64.82,67.59432939719409,-244.68680060280593
2021-03-17,64.55,61.91552424139809,-117.2727557586019
2021-03-18,59.95,63.263326964341104,152.4567769643411
2021-03-19,61.43,65.30438763950951,-51.06478236049048
2021-03-22,61.48,62.77225318248384,-354.93999681751615
2021-03-23,57.75,58.11209336307365,70.13073936307364
2021-03-24,61.12,57.450626073929016,-95.33672392607099
2021-03-25,58.47,61.44428487413097,-48.598989125869025
2021-03-26,60.93,61.2605421198532,-27.134387880146804
2021-03-29,61.49,59.62781610182719,60.38694086182719
2021-03-30,60.55,59.02759466787393,71.94641766787393
2021-03-31,59.19,60.95648823020747,-9.531701769792534
2021-04-01,61.41,61.77849212553701,-8.548317874462988
2021-04-05,58.73,60.83447458171577,-57.95178041828423
2021-04-06,59.34,58.50989426160231,-219.20195573839771
2021-04-07,59.77,58.67854634085961,-55.761123659140395
2021-04-08,59.61,59.74534186589881,-256.7203881341012
2021-04-09,59.29,60.26543340412536,-46.551066595874644
2021-04-12,59.7,59.68004466374987,-45.459025336250136
2021-04-13,60.2,59.0817946777679,-45.871725322232095
2021-04-14,63.15,59.4819626790304,-45.28628732096959
2021-04-15,63.42,61.78058233605407,-42.80373766394594
2021-04-16,63.16,63.68629136051368,-40.71388863948633
2021-04-19,63.33,64.17056861654055,54.69840061654055
2021-04-20,62.61,63.33946881332304,54.95885381332304
2021-04-21,61.34,62.334890949690816,53.98592244969082
2021-04-22,61.45,61.801155077724616,53.483925077724614
2021-04-23,62.18,61.620816119218944,53.335324119218946
2021-04-26,62.02,61.64120905060372,53.38675305060372
2021-04-27,63.03,61.88851305064884,40.358148050648836
2021-04-28,63.81,62.73153642966645,41.24227842966645
2021-04-29,65.0,63.53325102834742,-21.976483971652584
2021-04-30,63.5,64.50667662239357,97.02391862239358
2021-05-03,64.46,64.42827652306005,199.87563652306005
2021-05-04,65.72,64.31421601702868,224.8892860170287
2021-05-05,65.63,64.58407644043382,224.82458644043382
2021-05-06,64.73,65.47735024086273,265.92105024086277
2021-05-07,64.96,65.83434818761634,87.17004118761633
2021-05-10,64.92,65.22664204960438,458.1794920496044
2021-05-11,65.31,64.37713528322581,179.2494192832258
2021-05-12,65.96,64.68506031380912,144.92233431380913
2021-05-13,63.82,65.80481013854379,68.99792533854378
2021-05-14,65.32,65.42771233968642,244.35869233968643
2021-05-17,66.24,64.8589934606411,96.7279814606411
2021-05-18,65.49,64.82652025270755,168.46177425270756
2021-05-19,63.28,65.71628812328743,189.15204812328744
2021-05-20,61.95,65.35307930231153,108.06047630231153
2021-05-21,63.61,63.02312630565615,203.33574630565616
2021-05-24,66.13,61.64458724265346,-14.55396275734654
2021-05-25,66.27,63.625502477889086,76.80226047788909
2021-05-26,66.41,66.87298311426173,-239.90515688573828
2021-05-27,66.87,68.14433779156505,-145.29996220843495
2021-05-28,66.31,66.87042674798653,-8.758903252013468
2021-06-01,67.8,65.45982167335339,-103.0046883266466
2021-06-02,68.79,66.53211296472745,74.13623896472744
2021-06-03,68.81,68.62051908595204,434.52511908595204
2021-06-04,69.57,69.67099340108967,-366.38244659891035
2021-06-07,69.21,69.53376038997885,129.60392038997884
