Date,PF1_forecast,VPF_forecast,ARIMA_combined,Actual
2021-02-23,-36475.3334036764,36535.415297485204,60.081893808805034,61.66
2021-02-24,3499228.960872536,-3499166.2167920386,62.7440804974176,63.21
2021-02-25,32187910.79167817,-32187846.390314464,64.40136370807886,63.43
2021-02-26,2949202.387702659,-2949079.6521103857,122.73559227306396,61.55
2021-03-01,24035099.72335471,-24035019.59957778,80.12377692759037,60.54
2021-03-02,22617452.16527494,-22617381.043266796,71.1220081448555,59.7
2021-03-03,25299166.523473278,-25299095.215754427,71.30771885067225,61.33
2021-03-04,-1838742.4515165566,1838781.2817422021,38.8302256455645,63.81
2021-03-05,2326313.42584762,-2326242.964435224,70.4614123958163,66.08
2021-03-08,3850904.4715467957,-3850827.9490753803,76.52247141534463,65.03
2021-03-09,4595050.342733244,-4594986.796736032,63.54599721264094,64.02
2021-03-10,239481.76292836457,-239420.76437301864,60.998555345926434,64.45
2021-03-11,-1392160.0040083358,1392223.0061338143,63.00212547858246,66.02
2021-03-12,-57043.070995780756,57112.277048945194,69.20605316443834,65.59
2021-03-15,2006609.3459645694,-2006541.0433013763,68.3026631930843,65.36
2021-03-16,1144422.0639416084,-1144358.565058043,63.49888356542215,64.82
2021-03-17,-668929.0018177675,668991.2819563267,62.28013855917379,64.55
2021-03-18,-913889.3281442338,913955.4048162133,66.0766719795065,59.95
2021-03-19,271490.4675110113,-271425.95693849516,64.51057251612656,61.43
2021-03-22,762664.8585803233,-762604.7874053569,60.071174966404215,61.48
2021-03-23,110338.2224984825,-110280.18911280207,58.03338568043546,57.75
2021-03-24,-475928.87969349395,475987.84248635254,58.96279285859782,61.12
2021-03-25,-253327.7017490103,253389.8701800956,62.16843108530156,58.47
2021-03-26,229034.0650281497,-228973.9664441502,60.09858399949735,60.93
2021-03-29,259311.6713680143,-259252.7710692546,58.900298759690486,61.49
2021-03-30,-56820.42782460924,56880.38631988199,59.958495272745495,60.55
2021-03-31,-199871.83006192432,199933.62756412098,61.79750219665584,59.19
2021-04-01,-38910.453039439184,38971.54805120728,61.09501176809863,61.41
2021-04-05,123066.37483561058,-123006.19264942998,60.18218618059473,58.73
2021-04-06,75180.32084177042,-75121.89486380512,58.42597796529299,59.34
2021-04-07,-55939.63174003184,55998.68680481121,59.055064779371605,59.77
2021-04-08,-74176.19148587169,74236.2625563873,60.07107051560888,59.61
2021-04-09,9696.38553464011,-9636.274895723569,60.110638916541575,59.29
2021-04-12,55442.33738181921,-55383.0351006626,59.30228115661157,59.7
2021-04-13,15123.745496859981,-15064.648769880245,59.09672697973656,60.2
2021-04-14,-32671.4698039882,32731.36421323964,59.894409251442994,63.15
2021-04-15,-23440.824552901555,23503.337932920578,62.513380019023316,63.42
2021-04-16,13530.645882260396,-13466.666193045607,63.97968921478969,63.16
2021-04-19,21703.580163049563,-21639.800160396717,63.780002652845724,63.33
2021-04-20,-852.601897789872,915.606810171912,63.00491238203995,62.61
2021-04-21,-15462.329449200097,15524.694752588231,62.365303388134635,61.34
2021-04-22,-5497.957500957476,5559.711166013749,61.75366505627244,61.45
2021-04-23,8606.316614914283,-8544.838250019371,61.478364894912374,62.18
2021-04-26,7232.936573496159,-7171.193645245792,61.742928250367186,62.02
2021-04-27,-3141.8234305213964,3203.8880671498746,62.06463662847818,63.03
2021-04-28,-6276.41492124292,6339.324692814801,62.90977157188081,63.81
2021-04-29,-283.40034415727337,347.1053060386887,63.70496188141533,65.0
2021-04-30,4271.230462139168,-4206.48920077763,64.74126136153791,63.5
2021-05-03,1888.961612718248,-1824.7197485201268,64.24186419812122,64.46
2021-05-04,-2223.7168273913926,2287.857004802482,64.14017741108955,65.72
2021-05-05,-2183.0740826242545,2248.0144229960247,64.94034037177016,65.63
2021-05-06,698.0856492985507,-632.2472602657059,65.83838903284482,64.73
2021-05-07,1806.380091206413,-1740.8071222214503,65.5729689849627,64.96
2021-05-10,249.69295436765208,-184.85497078292013,64.83798358473194,64.92
2021-05-11,-1138.2886040820633,1202.6972953045865,64.4086912225232,65.31
2021-05-12,-619.636540626364,684.6737303033526,65.03718967698865,65.96
2021-05-13,560.1871900572653,-494.11508883854884,66.07210121871645,63.82
2021-05-14,800.0412066274239,-735.0816751959571,64.95953143146676,65.32
2021-05-17,92.38574595472969,-27.80036697694044,64.58537897778925,66.24
2021-05-18,-457.44231208176836,522.7582818117784,65.31596973001001,65.49
2021-05-19,6.852835860961676,59.20446851278217,66.05730437374385,63.28
2021-05-20,567.6562955349623,-502.9617936702316,64.69450186473068,61.95
2021-05-21,202.40529991048584,-140.31657701641046,62.088722894075374,63.61
2021-05-24,-204.04135382977088,265.9375468772731,61.89619304750224,66.13
2021-05-25,-614.0798623345848,679.0359401812093,64.95607784662445,66.27
2021-05-26,-403.7020085344029,471.18163535575206,67.47962682134914,66.41
2021-05-27,272.90485127995936,-205.3810842510949,67.52376702886446,66.87
2021-05-28,267.7280528534839,-201.42548057011658,66.30257228336734,66.31
2021-06-01,43.609524925198116,21.999282800672567,65.60880772587069,67.8
2021-06-02,-54.49670424081535,121.7122727670939,67.21556852627856,68.79
2021-06-03,33.77939056989794,35.30763861360509,69.08702918350303,68.81
2021-06-04,35.69159777872673,33.79083075386288,69.48242853258961,69.57
2021-06-07,15.758044966243748,53.52850481862676,69.2865497848705,69.21
2021-06-08,105.64963139517641,-36.71711443323067,68.93251696194574,70.11
2021-06-09,297.61593470170493,-227.878284571522,69.73765013018294,69.9
2021-06-10,21.104387251638208,49.15342223826404,70.25780948990226,70.34
2021-06-11,-138.76301750236038,209.24131571706326,70.47829821470287,71.0
2021-06-14,-1.7943980643212356,72.47500370604934,70.6806056417281,70.94
2021-06-15,93.95923647298238,-23.085546509570463,70.87368996341192,72.06
2021-06-16,215.2423462834317,-143.44787996588263,71.79446631754905,72.03
2021-06-17,264.02730518355975,-191.7738333819676,72.25347180159216,71.06
2021-06-18,169.0275747381479,-97.42155880526263,71.60601593288527,71.64
2021-06-21,-72.50906691127278,143.75545867065074,71.24639175937796,73.64
2021-06-22,-218.22287151791878,290.80691808539297,72.58404656747419,73.15
2021-06-23,-83.74434763992713,157.38930368155462,73.6449560416275,73.11
2021-06-24,212.06912033636337,-138.25892269518368,73.81019764117968,73.31
2021-06-25,376.0877760417464,-302.9155688638826,73.17220717786381,74.21
2021-06-28,277.9681883383673,-204.57261710062872,73.39557123773861,72.98
2021-06-29,79.38869303506362,-5.983500076134032,73.40519295892959,73.14
2021-06-30,-20.425324599944798,93.88674276982447,73.46141816987966,73.52
2021-07-01,-10.104738848656323,83.42562099616387,73.32088214750755,75.33
2021-07-02,4.4824831629242965,69.98516997931448,74.46765314223877,75.37
2021-07-06,105.78030723699696,-30.207714658659206,75.57259257833775,73.62
2021-07-07,432.7711560485402,-357.94440228310236,74.82675376543784,72.22
2021-07-08,394.7852529516374,-322.17177505171014,72.61347789992726,72.98
2021-07-09,1.5538930819435848,70.22881941402002,71.78271249596361,74.56
2021-07-12,488.2791693029885,-414.7494112898754,73.52975801311311,74.21
2021-07-13,54.45921068197879,20.65876712087404,75.11797780285283,75.24
2021-07-14,-88.15384069592,163.9138341495718,75.75999345365182,73.06
2021-07-15,1095.7978000308135,-1022.1222232668451,73.67557676396837,71.67
2021-07-16,1049.006333594857,-977.5516479016741,71.45468569318302,71.76
2021-07-19,-708.7204378731519,779.7195081119461,70.99907023879416,66.45
2021-07-20,-419.88735634364434,488.2236096718002,68.33625332815586,67.32
2021-07-21,-1425.5735004266605,1492.5686901126853,66.99518968602479,70.26
2021-07-22,-330.3716678971315,398.6698542217301,68.29818632459859,72.15
2021-07-23,5312.9532999931,-5241.324505419994,71.62879457310555,72.24
2021-07-26,6394.793831677767,-6321.145585271796,73.6482464059709,72.15
2021-07-27,2386.472976958118,-2313.4908316206584,72.98214533745977,71.68
2021-07-28,569.6631385323805,-498.51436474774835,71.14877378463211,72.37
2021-07-29,14579.901580748301,-14508.686594586801,71.21498616149984,73.62
2021-07-30,29589.89198685165,-29516.61787922906,73.27410762259024,73.93
2021-08-02,18680.498917926194,-18605.750241818936,74.74867610725778,71.31
2021-08-03,-687.5382779368583,760.352137771351,72.81385983449263,70.64
2021-08-04,4373.250908536749,-4303.010332747457,70.24057578929205,68.19
2021-08-05,7230.839529215348,-7162.974710420482,67.86481879486655,69.1
2021-08-06,47000.106773444335,-46931.73539416498,68.37137927935692,68.26
2021-08-09,11926.67774662959,-11857.796364908743,68.88138172084655,66.56
2021-08-10,-5915.20215609393,5982.888571279419,67.68641518548884,68.33
2021-08-11,-15595.417861332515,15662.774221018642,67.35635968612769,69.3
2021-08-12,-339.1133045429933,407.4457593968955,68.33245485390216,69.12
2021-08-13,11258.5607595705,-11188.938545777883,69.62221379261791,68.36
2021-08-16,4953.957860484579,-4884.575034881047,69.38282560353218,67.44
2021-08-17,-5739.580398789143,5807.21994614227,67.63954735312655,66.5
2021-08-18,-5700.891311311679,5766.922105704645,66.03079439296653,65.36
2021-08-19,1756.9348196473345,-1691.6531261087055,65.28169353862904,63.69
2021-08-20,4674.241575689593,-4609.868522690182,64.37305299941181,62.25
2021-08-23,618.8952506659778,-556.1341027059586,62.761147960019116,65.65
2021-08-24,-3017.580795708366,3081.494755679447,63.91395997108066,67.5
2021-08-25,-1620.6631835163894,1687.3922450358368,66.72906151944744,68.54
2021-08-26,1471.331691881027,-1402.0014054758406,69.33028640518637,67.42
2021-08-27,1715.7415025270138,-1646.9556032109645,68.78589931604938,68.84
2021-08-30,-348.50530779631606,416.4641174535916,67.95880965727554,69.28
2021-08-31,-1333.9407030845232,1402.1657280447362,68.22502496021298,68.43
2021-09-01,-280.70809746081176,349.67087461630433,68.96277715549257,68.63
2021-09-02,822.439162986349,-753.1796902337537,69.25947275259523,70.07
2021-09-03,519.6857751380335,-450.16165380853124,69.52412132950224,69.34
2021-09-07,-371.23896050435275,440.53230901144184,69.29334850708909,68.49
2021-09-08,-510.7334741093258,579.6242606267422,68.89078651741636,69.36
2021-09-09,50.140006223773995,18.92321736738296,69.06322359115696,68.26
2021-09-10,380.5380380949788,-312.009747813937,68.52829028104179,69.82
2021-09-13,40.25981017200088,28.996764975430125,69.25657514743101,70.54
2021-09-14,-553.1905110890311,623.5045660009326,70.31405491190151,70.53
2021-09-15,-616.9839234698868,687.9101164916596,70.92619302177275,72.59
2021-09-16,-42.190087712898716,114.29430213539274,72.10421442249402,72.69
2021-09-17,579.1361755306965,-506.4545231243638,72.68165240633272,72.09
2021-09-20,617.4433931141523,-544.9057396218045,72.53765349234777,70.41
2021-09-21,100.5644702640979,-29.53748028402059,71.02698998007732,70.51
2021-09-22,-251.15286620793054,321.181373591281,70.02850738335044,72.37
2021-09-23,-335.3750004120951,406.5874455286077,71.21244511651258,73.43
2021-09-24,-236.3319991367696,309.7227177004229,73.39071856365328,74.18
2021-09-27,-236.95932176977004,311.8078554843198,74.84853371454977,75.54
2021-09-28,-329.79531280912107,405.2400916728579,75.44477886373681,75.44
2021-09-29,-294.3624302591896,369.6091220030634,75.24669174387384,75.06
2021-09-30,-98.65065704367584,173.7210928796668,75.07043583599096,75.22
2021-10-01,85.25571286081757,-10.053578393032712,75.20213446778486,76.01
2021-10-04,110.96712289164859,-35.19420432405731,75.77291856759128,77.68
2021-10-05,275.1729376338833,-197.98901687262227,77.18392076126102,79.17
