Date,Price,Stochastic,Deterministic
2018-03-12,61.35,26.884551693699276,34.46544830630073
2018-03-13,60.69,-5.479475910776697,66.1694759107767
2018-03-14,60.89,162.1003673991476,-101.2103673991476
2018-03-15,61.16,-3.177158937650498,64.3371589376504
2018-03-16,62.29,104.12344378467704,-41.833443784677044
2018-03-19,62.01,119.51638776900268,-57.50638776900266
2018-03-20,63.37,-36.74553327044437,100.1155332704443
2018-03-21,65.1,-26.9273198064029,92.02731980640328
2018-03-22,64.25,141.26334667507254,-77.01334667507217
2018-03-23,65.8,-38.396271304244,104.19627130424487
2018-03-26,65.49,14.920024336538745,50.569975663461264
2018-03-27,65.21,73.97557637047088,-8.765576370471535
2018-03-28,64.3,-72.04329489043938,136.34329489044103
2018-03-29,64.87,94.01498577128616,-29.144985771286883
2018-04-02,63.05,82.2919939020733,-19.241993902071954
2018-04-03,63.41,-82.54500002232933,145.95500002232927
2018-04-04,63.35,902.40877808408,-839.05877808408
2018-04-05,63.53,96.29740172169446,-32.76740172169448
2018-04-06,62.03,-24.806650460055238,86.83665046005535
2018-04-09,63.4,156.21801076315947,-92.81801076315949
2018-04-10,65.48,124.08301421222646,-58.60301421222647
2018-04-11,66.81,32.04750681371532,34.7624931862847
2018-04-12,67.07,227.68262678712432,-160.61262678712433
2018-04-13,67.35,-15.59822720001636,82.94822720001636
2018-04-16,66.23,55.06051506472267,11.169484935277339
2018-04-17,66.5,112.3749206743895,-45.87492067438951
2018-04-18,68.44,5.5305761536298474,62.909423846370146
2018-04-19,68.3,1.029841091321928,67.27015890867807
2018-04-20,68.26,4.257418720587439,64.00258127941254
2018-04-23,67.61,-0.4640540307258809,68.07405403072588
2018-04-24,67.66,-2.2860563226817217,69.94605632268173
2018-04-25,68.0,4.069649674372544,63.93035032562746
2018-04-26,68.18,-1.4697597971018423,69.64975979710185
2018-04-27,68.11,-5.6717644726264,73.78176447262638
2018-04-30,68.56,7.497620452862624,61.06237954713737
2018-05-01,67.28,-6.774360609595987,74.05436060959596
2018-05-02,67.91,26.995085065456877,40.91491493454305
2018-05-03,68.45,-22.57485806832517,91.02485806832499
2018-05-04,69.71,111.50527961564329,-41.79527961564327
2018-05-07,70.74,317.69305498202567,-246.95305498202572
2018-05-08,68.83,411.5783064024586,-342.7483064024587
2018-05-09,71.16,-306.7542084927667,377.91420849276665
2018-05-10,71.36,-500.8887793061795,572.2487793061792
2018-05-11,70.69,-21.336088550274816,92.02608855027495
2018-05-14,71.01,410.6623316932186,-339.6523316932187
2018-05-15,71.34,483.79336316238886,-412.4533631623889
2018-05-16,71.43,241.89499516191347,-170.46499516191352
2018-05-17,71.47,0.6834779288112767,70.78652207118876
2018-05-18,71.23,-21.64157988352131,92.8715798835214
2018-05-21,72.26,1.8880300141691748,70.3719699858309
2018-05-22,72.09,19.805186287547176,52.284813712452774
2018-05-23,71.85,0.26532592182331616,71.5846740781767
2018-05-24,70.77,-7.195686973076384,77.96568697307646
2018-05-25,67.92,10.362575498405837,57.5574245015942
2018-05-29,66.8,11.694970326107196,55.10502967389283
2018-05-30,68.24,3.328483339667671,64.91151666033232
2018-05-31,66.98,-2.6061495204854923,69.58614952048549
2018-06-01,65.81,1.8351215102241256,63.974878489775904
2018-06-04,64.76,8.774911391554898,55.985088608445096
2018-06-05,65.51,-13.15810267505405,78.66810267505412
2018-06-06,64.75,-13.767872836100763,78.51787283610076
2018-06-07,65.96,1.014859389435753,64.9451406105642
2018-06-08,65.77,-4.800644815124478,70.57064481512452
2018-06-11,66.1,-7.255395091313826,73.35539509131377
2018-06-12,66.38,-5.656405155286944,72.03640515528673
2018-06-13,66.63,-1.026905897651752,67.65690589765178
2018-06-14,66.91,-6.627402046291415,73.53740204629139
2018-06-15,65.01,-5.447688097076977,70.45768809707715
2018-06-18,65.91,4.756327497232782,61.15367250276722
2018-06-19,65.09,-11.458275859173508,76.54827585917519
2018-06-20,65.92,2.825506299241061,63.0944937007589
2018-06-21,65.68,-11.562053812728792,77.2420538127335
2018-06-22,69.02,70.84484719643439,-1.8248471964761848
2018-06-25,69.91,95.64963513185754,-25.73963513186027
2018-06-26,75.23,-82.18544265386186,157.41544265384437
2018-06-27,77.41,520.7215532199206,-443.3115532199736
2018-06-28,73.45,3208.0361428163123,-3134.5861428162316
2018-06-29,74.13,2585.4893744900137,-2511.359374489868
2018-07-02,73.89,-223.54768139544504,297.4376813955605
2018-07-03,74.19,19960.47502437382,-19886.285024373792
2018-07-05,73.05,-9162.512542614459,9235.562542613596
2018-07-06,73.78,-51178.95815334213,51252.738153340295
2018-07-09,73.93,362533.81775840686,-362459.8877584059
2018-07-10,74.11,177540.26201722716,-177466.15201723203
2018-07-11,70.47,-2177.3415394585813,2247.8115394590423
2018-07-12,70.28,42155.5749586141,-42085.29495861381
2018-07-13,71.03,196403.5841744247,-196332.55417442555
