Date,Actual,LMD_ARIMA,LMD_SD_ARIMA_XGBoost
2021-02-23,61.66,60.08189380880504,2668388.8818938085
2021-02-24,63.21,62.7440804974176,1262073.5440804975
2021-02-25,63.43,64.40136370807886,133505.45136370807
2021-02-26,61.55,122.73559227306396,-3132345.764407727
2021-03-01,60.54,80.12377692759037,-253.9064230724096
2021-03-02,59.7,71.1220081448555,33.8853751448555
2021-03-03,61.33,71.30771885067225,65.53592925067224
2021-03-04,63.81,38.8302256455645,-53.9791003544355
2021-03-05,66.08,70.4614123958163,112.4017203958163
2021-03-08,65.03,76.52247141534463,104.66025841534463
2021-03-09,64.02,63.54599721264094,-85.91109278735905
2021-03-10,64.45,60.998555345926434,-216.74759465407357
2021-03-11,66.02,63.00212547858246,-161.72703452141755
2021-03-12,65.59,69.20605316443834,83.09590016443835
2021-03-15,65.36,68.3026631930843,-23.2284968069157
2021-03-16,64.82,63.49888356542215,-248.78224643457787
2021-03-17,64.55,62.28013855917379,-116.9081414408262
2021-03-18,59.95,66.0766719795065,155.27012197950648
2021-03-19,61.43,64.51057251612656,-51.85859748387344
2021-03-22,61.48,60.071174966404215,91.89936096640422
2021-03-23,57.75,58.03338568043546,70.05203168043546
2021-03-24,61.12,58.96279285859782,-93.82455714140218
2021-03-25,58.47,62.16843108530156,-47.874842914698434
2021-03-26,60.93,60.09858399949735,-28.296346000502652
2021-03-29,61.49,58.900298759690486,59.659423519690485
2021-03-30,60.55,59.958495272745495,72.8773182727455
2021-03-31,59.19,61.79750219665584,-8.690687803344161
2021-04-01,61.41,61.09501176809863,-9.231798231901365
2021-04-05,58.73,60.18218618059473,-58.60406881940527
2021-04-06,59.34,58.42597796529299,-219.28587203470704
2021-04-07,59.77,59.055064779371605,-55.3846052206284
2021-04-08,59.61,60.07107051560888,-256.3946594843911
2021-04-09,59.29,60.110638916541575,-46.70586108345843
2021-04-12,59.7,59.30228115661157,-45.83678884338843
2021-04-13,60.2,59.09672697973656,-45.85679302026344
2021-04-14,63.15,59.894409251442994,-44.873840748557
2021-04-15,63.42,62.51338001902332,-42.07093998097668
2021-04-16,63.16,63.97968921478969,-40.42049078521032
2021-04-19,63.33,63.78000265284573,54.30783465284573
