Date,PF1_resid_train,VPF_resid_train
2018-03-13,-17.446139234426386,50.828453617533384
2018-03-14,152.52739555026514,-132.84001977427883
2018-03-15,-43.784735279595374,53.25626901805535
2018-03-16,55.66863595658235,-42.38328683273392
2018-03-19,64.74266045756607,-60.43523148116584
2018-03-20,-96.13401932585415,103.89856073959328
2018-03-21,-98.4689001479581,104.30880965551768
2018-03-22,122.20652936163518,-118.35063515903337
2018-03-23,-82.15997582116603,86.80438986524999
2018-03-26,-32.19493242359235,34.683172574976226
2018-03-27,49.123155075259334,-46.88126395775848
2018-03-28,-100.57806802720961,100.61322612250171
2018-03-29,63.47981233240385,-62.53308519569485
2018-04-02,68.88130075192011,-70.13877842123782
2018-04-03,-125.0339312759461,124.31052095952552
2018-04-04,868.4034765893446,-868.874513658925
2018-04-05,-44.03190585547904,43.851711428574475
2018-04-06,-284.79452763715983,283.1393705997061
2018-04-09,-36.322982461174746,36.382712514841515
2018-04-10,32.93375299394239,-30.677059302755765
2018-04-11,-162.28855158163518,165.54280094297053
2018-04-12,135.11743312830015,-132.53954689081863
2018-04-13,-156.35472614171798,158.59342405819794
2018-04-16,-64.27428017243068,64.75251532142902
2018-04-17,23.731913481675292,-23.22324661753887
2018-04-18,-79.9455761675703,82.30758213689921
2018-04-19,-87.49676497922195,89.31516169705588
2018-04-20,-46.4872844030348,47.6367257380045
2018-04-23,-42.82969870485304,43.0282400997514
2018-04-24,-34.91161956177548,35.078825933503026
2018-04-25,-14.80299601975568,15.22039070968863
2018-04-26,-20.05862925566979,20.65733897766497
2018-04-27,-16.05299197092669,16.353001891482407
2018-04-30,-1.0495959695943489,1.7507809978955606
2018-05-01,-12.186941637113517,11.450922718396413
2018-05-02,22.573395697437448,-22.634080008134028
2018-05-03,-29.52600634709053,30.125582009714975
2018-05-04,107.52664168739959,-105.74419783655031
2018-05-07,298.32041054697095,-295.957573765808
2018-05-08,334.38031665796404,-334.4070599302831
2018-05-09,-479.12998922256645,481.10605624563084
2018-05-10,-621.3987075021319,623.4132521318427
2018-05-11,26.00488871526354,-25.224110642947707
2018-05-14,529.1492424782241,-528.5070978326165
2018-05-15,463.68501644952823,-462.6106027259507
2018-05-16,103.06147545812956,-102.3416479035289
2018-05-17,-199.81011948262602,200.46398666951683
2018-05-18,-184.98074316806128,185.19406887543792
2018-05-21,-100.89513094659425,102.03496322100084
2018-05-22,-58.3359833342125,59.151920793250476
2018-05-23,-58.4922448874131,58.76643844966743
2018-05-24,-52.75257527829138,51.83849170182093
2018-05-25,-22.060847770777794,18.48052267928886
2018-05-29,-10.299888106142866,6.2326622123370825
2018-05-30,-18.53216873848792,17.04163401775017
2018-05-31,-19.095058777736384,16.947343715355572
2018-06-01,-9.995763845333737,7.031413233832801
2018-06-04,0.08129089057352878,-3.3667610393436362
2018-06-05,-20.754931651714358,19.09840495649678
