Date,PF1_xgb_resid,VPF_xgb_resid,XGB_combined
2021-09-01,269.24908,-400.10944,-130.86035
2021-09-02,248.32137,-245.29526,3.0261078
2021-09-03,310.8638,-159.84967,151.01413
2021-09-07,321.76794,-445.35858,-123.59064
2021-09-08,173.21358,-200.67352,-27.459946
2021-09-09,238.77905,-333.98938,-95.21033
2021-09-10,126.99898,-406.08646,-279.08746
2021-09-13,126.806465,-405.4865,-278.68005
2021-09-14,462.38348,-88.38442,373.99905
2021-09-15,462.0272,-88.266235,373.76096
2021-09-16,460.05957,-177.44394,282.61563
2021-09-17,205.85059,-260.3921,-54.541504
2021-09-20,252.58292,-85.763916,166.819
2021-09-21,245.73679,-148.27383,97.46295
2021-09-22,251.41902,-276.634,-25.214981
2021-09-23,262.23325,-179.15402,83.07922
2021-09-24,261.79593,-194.9987,66.797226
2021-09-27,281.09082,-257.84378,23.24704
2021-09-28,166.07657,-291.79684,-125.720276
2021-09-29,251.99034,-111.30246,140.68788
2021-09-30,180.7706,-144.127,36.6436
2021-10-01,180.52954,-143.89426,36.635284
2021-10-04,33.478027,-250.38832,-216.9103
2021-10-05,254.5709,-191.15892,63.411987
2021-10-06,132.182,-172.60954,-40.427536
2021-10-07,84.943985,-383.8325,-298.8885
2021-10-08,210.26086,-430.05545,-219.79459
2021-10-11,48.81556,-428.9192,-380.10364
2021-10-12,122.202286,-526.76575,-404.56348
2021-10-13,271.14276,-118.46352,152.67924
2021-10-14,234.58438,-118.26164,116.32274
2021-10-15,234.27687,-118.06022,116.21665
2021-10-18,233.97035,-117.85945,116.1109
2021-10-19,163.32578,-68.3553,94.970474
2021-10-20,184.46762,-292.58533,-108.11771
2021-10-21,184.18796,-292.15112,-107.963165
2021-10-22,196.39668,-291.71817,-95.32149
2021-10-25,196.2751,-283.03543,-86.76033
2021-10-26,291.88208,-243.83981,48.042267
2021-10-27,318.6756,-415.81516,-97.13956
2021-10-28,338.16644,-349.8791,-11.7126465
2021-10-29,224.06152,-407.26703,-183.2055
2021-11-01,153.10011,-262.37747,-109.27736
2021-11-02,197.82297,-239.536,-41.713028
2021-11-03,197.5079,-346.22318,-148.71527
2021-11-04,126.20911,-130.4474,-4.2382965
2021-11-05,413.47876,-298.8781,114.60065
2021-11-08,378.16415,-326.38037,51.783783
2021-11-09,274.51865,-439.81058,-165.29193
2021-11-10,133.26038,-322.22076,-188.96039
2021-11-11,285.5318,-126.53754,158.99426
2021-11-12,179.26578,-132.5604,46.705383
2021-11-15,31.553143,-274.65167,-243.09853
2021-11-16,42.621254,-274.26965,-231.6484
2021-11-17,44.323116,-327.29163,-282.9685
2021-11-18,163.50713,-227.34369,-63.836563
2021-11-19,195.43948,-192.30429,3.1351929
2021-11-22,257.38672,-274.7057,-17.31897
2021-11-23,234.55695,-274.316,-39.759064
2021-11-24,247.97797,-193.96153,54.016434
2021-11-29,247.65993,-110.381485,137.27844
2021-11-30,211.51236,-154.74911,56.763245
2021-12-01,160.8982,-154.548,6.350189
2021-12-02,160.31418,-349.2621,-188.9479
2021-12-03,156.13094,-155.07602,1.0549164
2021-12-06,201.6517,-253.61188,-51.960175
2021-12-07,96.68942,-274.40662,-177.7172
2021-12-08,101.28825,-265.39578,-164.10753
2021-12-09,164.512,-333.60336,-169.09137
2021-12-10,164.28822,-331.91992,-167.6317
2021-12-13,134.64261,-203.11441,-68.4718
2021-12-14,134.45415,-202.80963,-68.355484
2021-12-15,259.7427,-235.59784,24.144867
2021-12-16,298.11102,-326.54486,-28.433838
2021-12-17,287.86127,-326.0995,-38.23822
2021-12-20,287.46103,-325.65524,-38.194214
2021-12-21,158.60556,-179.94418,-21.338623
2021-12-22,158.39464,-179.70529,-21.310654
2021-12-23,158.18442,-179.46703,-21.282608
2021-12-27,184.20721,-258.37048,-74.16327
2021-12-28,196.9336,-166.52971,30.403885
2021-12-29,192.66302,-211.47035,-18.807327
2021-12-30,71.65109,-112.56038,-40.909286
2021-12-31,275.4926,-132.18748,143.30513
2022-01-03,275.14023,-137.9009,137.23933
2022-01-04,230.1223,-273.98392,-43.861618
2022-01-05,229.82559,-149.12363,80.701965
2022-01-06,74.34239,-231.9087,-157.56631
2022-01-07,91.94213,-242.73935,-150.79721
2022-01-10,91.816826,-296.95618,-205.13934
2022-01-11,390.6729,-218.25569,172.41722
2022-01-12,390.49347,-133.95343,256.54004
2022-01-13,187.545,-147.27559,40.26941
2022-01-14,125.253876,-201.72104,-76.46716
2022-01-18,111.02844,-201.46098,-90.43254
2022-01-19,190.94234,-313.66995,-122.727615
2022-01-20,190.70244,-313.2762,-122.57378
2022-01-21,190.29906,-140.83687,49.46219
2022-01-24,207.11116,-259.33493,-52.22377
2022-01-25,206.83913,-258.85977,-52.020645
2022-01-26,267.99298,-262.22336,5.769623
2022-01-27,267.64954,-298.30078,-30.651245
2022-01-28,197.14091,-302.13605,-104.99513
2022-01-31,129.9465,-196.12395,-66.177444
2022-02-01,223.64816,-194.46234,29.185822
2022-02-02,220.33727,-334.43695,-114.099686
2022-02-03,282.86588,-334.02435,-51.158478
2022-02-04,56.54328,-208.86974,-152.32645
2022-02-07,97.72375,-288.09418,-190.37042
2022-02-08,71.273605,-287.73108,-216.45747
2022-02-09,99.76134,-351.55002,-251.78868
2022-02-10,99.63712,-351.2517,-251.6146
2022-02-11,131.29099,-687.6646,-556.37366
2022-02-14,157.2402,-348.70154,-191.46133
